"","Feature","%IncMSE","%IncMSE.pval","IncNodePurity","IncNodePurity.pval"
"1","x23919_766_53723_11_563",5.50503356101245,0.000999000999000999,2.47953956610213,0.000999000999000999
"2","x18965_648_51214_8_919",5.33398410298361,0.000999000999000999,3.4921943584521,0.000999000999000999
"3","x19448_863_6175_9_211",5.25325091799336,0.000999000999000999,0.723650293906443,0.028971028971029
"4","x12262_775_53098_6_104",4.43340758635764,0.000999000999000999,3.15238178740786,0.000999000999000999
"5","x19619_778_5352_9_231",3.78911553834866,0.002997002997003,0.935097235017862,0.016983016983017
"6","x33804_636_62923_14_09",3.73710132699382,0.000999000999000999,1.36662611195634,0.000999000999000999
"7","x19049_647_5105_8_915",3.53739275875688,0.000999000999000999,1.78543719959457,0.000999000999000999
"8","x27212_592_50959_12_52",3.49351189913954,0.000999000999000999,0.686065954635994,0.025974025974026
"9","x17164_786_53843_8_216",3.40096454425568,0.001998001998002,0.680808631005768,0.025974025974026
"10","x19457_788_55458_9_165",3.36676655315295,0.004995004995005,1.53981403887705,0.016983016983017
"11","x6933_425_34199_4_236",3.02334086363929,0.002997002997003,0.994871917695422,0.00599400599400599
"12","x16749_800_58165_8_032",2.95814326511504,0.001998001998002,0.259979044082405,0.03996003996004
"13","x8654_864_5219_4_765",2.75749840489668,0.000999000999000999,0.789919551470763,0.000999000999000999
"14","x29130_848_65024_13_057",2.56080720277893,0.00699300699300699,1.09533953638947,0.00599400599400599
"15","x6125_600_36137_3_957",2.4947652177648,0.00799200799200799,0.513406698282265,0.020979020979021
"16","x28833_846_64302_12_945",2.38911079379566,0.011988011988012,0.547899117209661,0.036963036963037
"17","x21021_764_55535_9_978",2.22338088633175,0.00599400599400599,0.334863392316481,0.020979020979021
"18","x12192_774_52754_6_101",2.01206843013288,0.00999000999000999,0.54543986881823,0.00999000999000999
"19","x3021_504_37055_2_865",1.79608601359707,0.014985014985015,0.211194690477352,0.033966033966034
"20","x4329_480_30939_3_423",1.77238450484808,0.016983016983017,0.382693465961602,0.024975024975025
"21","x9781_748_51233_5_178",1.75791838790459,0.020979020979021,0.472060170051066,0.00799200799200799
"22","x19465_762_54304_9_181",1.36231105770606,0.0949050949050949,0.604832059744926,0.02997002997003
"23","x19600_812_61587_9_204",1.29858720648217,0.103896103896104,0.287472165917187,0.038961038961039
"24","x11657_673_49039_5_857",1.23492973756423,0.110889110889111,0.172728307162692,0.02997002997003
"25","x22268_1093_9823_10_598",1.14106529880641,0.121878121878122,0.595785044648946,0.028971028971029
"26","x23393_740_55481_11_251",1.1124080949489,0.181818181818182,0.192101116903576,0.048951048951049
"27","x1875_530_28797_1_954",1.05241885119309,0.154845154845155,0.486657381487956,0.017982017982018
"28","x37211_729_61858_15_102",1.02525714375041,0.180819180819181,0.163273415772449,0.040959040959041
"29","x8399_818_55489_4_682",1.00734442711535,0.186813186813187,1.5447759408105,0.011988011988012
"30","x6208_448_37813_3_986",0.99003612349616,0.251748251748252,0.113107182613099,0.046953046953047
"31","x27744_752_61999_12_671",0.709898181214694,0.243756243756244,0.818689764225615,0.03996003996004
"32","x6406_375_30519_4_062",0.705917144281623,0.361638361638362,0.138287396318465,0.043956043956044
"33","x15346_618_47557_7_45",0.628729559325135,0.338661338661339,0.670013026740468,0.012987012987013
"34","x5565_664_45527_3_813",0.324559754418116,0.435564435564436,1.58030369087254,0.00799200799200799
"35","x4961_620_4289_3_604",0.265520059691029,0.436563436563437,1.8695734680721,0.00799200799200799
"36","x6206_648_46215_3_984",0.191328903693787,0.398601398601399,0.606271408198039,0.043956043956044
"37","x6213_476_40884_3_994",0.121590294834671,0.403596403596404,0.503229817144559,0.02997002997003
"38","x32627_709_59237_13_83",0,1,0.0010575132047802,0.020979020979021
"39","x25300_628_5292_11_973",0,1,0.00287584762883684,0.044955044955045
"40","x7853_482_32918_4_472",0,1,0.00205096837825403,0.035964035964036
"41","x39541_932_80618_16_033",-0.224415791143284,0.529470529470529,0.808605890486514,0.017982017982018
"42","x3292_596_39168_3_015",-0.289194507720249,0.504495504495505,1.39828516194367,0.012987012987013
"43","x28875_723_57547_12_946",-0.517829786627015,0.833166833166833,0.970062829012109,0.00699300699300699
"44","x23966_406_81134_11_575",-0.608017830792318,0.595404595404595,0.224217448582817,0.03996003996004
"45","x6195_431_35265_3_986",-0.717041808468637,0.646353646353646,0.286147724206013,0.015984015984016
"46","x3862_580_3978_3_26",-0.735413529176163,0.639360639360639,0.419893011313542,0.02997002997003
"47","x6459_443_35307_4_065",-0.756594815955259,0.652347652347652,0.231540113782138,0.023976023976024
"48","x7440_658_44454_4_402",-0.88937552037486,0.671328671328671,0.300409219930143,0.04995004995005
"49","x14736_678_56701_7_193",-0.897209072121927,0.68031968031968,0.233803997880625,0.043956043956044
"50","x2695_572_37207_2_621",-0.900066562861007,0.681318681318681,1.14904342504745,0.00999000999000999
"51","x19980_732_6139_9_405",-0.991620063082578,0.668331668331668,1.3412290255495,0.015984015984016
"52","x4614_608_42918_3_512",-1.08416745994121,0.796203796203796,0.320999551317237,0.031968031968032
"53","x24278_772_52516_11_627",-1.11266409304465,0.864135864135864,0.118429822273849,0.046953046953047
"54","x32507_622_61287_13_786",-1.2322091624165,0.865134865134865,0.366407864064182,0.043956043956044
"55","x29340_822_6386_13_053",-1.23695512339317,0.83016983016983,4.57401577220976,0.000999000999000999
"56","x5696_476_41045_3_813",-1.40393424992052,0.919080919080919,0.321665449270969,0.040959040959041
