"","Feature","B","B.pval","NB","NB.pval","MeanDecreaseAccuracy","MeanDecreaseAccuracy.pval","MeanDecreaseGini","MeanDecreaseGini.pval"
"1","x37211_729_61858_15_102",3.87576067857064,0.000999000999000999,4.68332024343713,0.000999000999000999,4.77517477780327,0.000999000999000999,1.03875322395622,0.000999000999000999
"2","x19049_647_5105_8_915",3.66740187877216,0.000999000999000999,4.14071635698808,0.000999000999000999,4.53386807607242,0.000999000999000999,0.664659489575328,0.000999000999000999
"3","x19448_863_6175_9_211",4.4599362955691,0.000999000999000999,3.80703768902544,0.000999000999000999,4.4840543362028,0.000999000999000999,0.808231025112557,0.000999000999000999
"4","x19457_788_55458_9_165",3.98469722077094,0.000999000999000999,3.81243417271374,0.000999000999000999,4.25458936563955,0.000999000999000999,0.650207285022963,0.000999000999000999
"5","x15565_411_36214_7_505",3.52628223666746,0.000999000999000999,3.87247966224284,0.000999000999000999,4.13990156850053,0.000999000999000999,0.638230940639443,0.000999000999000999
"6","x19178_844_60681_9_032",3.21757778423426,0.000999000999000999,3.99775312747387,0.000999000999000999,4.07675481847548,0.000999000999000999,0.729588295305093,0.000999000999000999
"7","x8654_864_5219_4_765",3.29825753947877,0.000999000999000999,3.84900282240697,0.000999000999000999,3.99695033561794,0.000999000999000999,0.616003273232207,0.000999000999000999
"8","x17164_786_53843_8_216",3.63356879521524,0.000999000999000999,3.75205470847594,0.000999000999000999,3.96908213218306,0.000999000999000999,0.587281841244255,0.000999000999000999
"9","x15346_618_47557_7_45",3.23396179851375,0.000999000999000999,4.18694138781217,0.000999000999000999,3.9565598656923,0.000999000999000999,0.629668075349984,0.000999000999000999
"10","x19619_778_5352_9_231",3.95207932271519,0.000999000999000999,3.42026784830432,0.000999000999000999,3.85804805385638,0.000999000999000999,0.527079498411366,0.000999000999000999
"11","x6406_375_30519_4_062",3.13447105326828,0.000999000999000999,3.49122755324632,0.000999000999000999,3.74075792803198,0.000999000999000999,0.372491887468204,0.000999000999000999
"12","x15527_393_3514_7_491",3.00939717869498,0.000999000999000999,3.65156726602072,0.000999000999000999,3.61812824394153,0.000999000999000999,0.432988057697964,0.000999000999000999
"13","x12262_775_53098_6_104",3.32927671782264,0.001998001998002,3.16666715320102,0.000999000999000999,3.61392613072989,0.000999000999000999,0.449398041664369,0.000999000999000999
"14","x33804_636_62923_14_09",3.01374796633758,0.000999000999000999,3.35617086938243,0.000999000999000999,3.56063234568792,0.000999000999000999,0.49198665839133,0.000999000999000999
"15","x9781_748_51233_5_178",3.28194150582144,0.000999000999000999,3.34003491327314,0.000999000999000999,3.55198671694415,0.000999000999000999,0.585748091319879,0.000999000999000999
"16","x6933_425_34199_4_236",3.26648549491917,0.000999000999000999,3.35565848399215,0.000999000999000999,3.52715177357051,0.000999000999000999,0.568398523424625,0.000999000999000999
"17","x28833_846_64302_12_945",2.79730129855525,0.000999000999000999,3.52765050539173,0.000999000999000999,3.51036754797806,0.000999000999000999,0.415562987546418,0.000999000999000999
"18","x5192_467_29221_3_695",3.30444587323629,0.000999000999000999,2.30758906561291,0.00599400599400599,3.50846983870385,0.000999000999000999,0.432389497829193,0.000999000999000999
"19","x12046_818_59094_6_023",3.28587829147123,0.000999000999000999,1.61776606518952,0.028971028971029,3.37555428027515,0.000999000999000999,0.349171579749588,0.000999000999000999
"20","x23919_766_53723_11_563",3.05085839389468,0.000999000999000999,3.22775773348001,0.000999000999000999,3.29703818384609,0.000999000999000999,0.552773809894082,0.000999000999000999
"21","x8126_425_34195_4_574",3.47241763723808,0.000999000999000999,2.5983361294344,0.000999000999000999,3.27867369208662,0.000999000999000999,0.482718183167587,0.000999000999000999
"22","x12192_774_52754_6_101",3.1164637118735,0.000999000999000999,2.93167810021302,0.000999000999000999,3.21944293004027,0.000999000999000999,0.364842350350832,0.000999000999000999
"23","x18965_648_51214_8_919",3.02009534653052,0.000999000999000999,3.2148908495391,0.000999000999000999,3.1674639791012,0.000999000999000999,0.426729451209393,0.000999000999000999
"24","x36419_771_62755_14_787",1.93367507763454,0.00599400599400599,2.97819572187845,0.000999000999000999,3.01753701785676,0.000999000999000999,0.393950366563874,0.000999000999000999
"25","x7638_393_31577_4_444",2.5268675399295,0.000999000999000999,2.903451864083,0.000999000999000999,3.00078492136907,0.000999000999000999,0.311278941297014,0.000999000999000999
"26","x32394_803_61548_13_776",1.76982534191806,0.012987012987013,3.2900721874919,0.000999000999000999,2.99288908308859,0.000999000999000999,0.266992210502709,0.000999000999000999
"27","x19559_862_61602_9_239",2.96021689985426,0.000999000999000999,2.47781786406484,0.000999000999000999,2.9829555233819,0.001998001998002,0.281906003400793,0.000999000999000999
"28","x4329_480_30939_3_423",1.90852703252518,0.00999000999000999,2.89340307314094,0.000999000999000999,2.91464455853345,0.002997002997003,0.244893457983089,0.003996003996004
"29","x28675_681_5446_12_873",1.83579758503232,0.00999000999000999,2.79334945112338,0.000999000999000999,2.8995070770625,0.000999000999000999,0.402999260581764,0.001998001998002
"30","x26767_744_5533_12_41",2.6144503828199,0.002997002997003,2.17737004360553,0.00699300699300699,2.72125945965814,0.003996003996004,0.195193366670201,0.00699300699300699
"31","x3996_481_29307_3_307",2.79215043380309,0.000999000999000999,1.74435282416675,0.012987012987013,2.71325904285575,0.003996003996004,0.376599602296918,0.001998001998002
"32","x5625_411_32632_3_796",2.0784854081695,0.00999000999000999,2.76405702564852,0.000999000999000999,2.666027296073,0.002997002997003,0.290581262193588,0.001998001998002
"33","x19677_816_57174_9_284",2.43944601337464,0.004995004995005,2.35070091311883,0.00599400599400599,2.64527302615701,0.003996003996004,0.363488328575335,0.001998001998002
"34","x11093_574_42164_5_66",2.45889860620771,0.000999000999000999,2.67243362080519,0.000999000999000999,2.62868545842984,0.001998001998002,0.317041067339942,0.000999000999000999
"35","x1885_389_26811_1_951",2.40679026019831,0.000999000999000999,2.29821547914518,0.001998001998002,2.61875983407077,0.001998001998002,0.277269838963766,0.000999000999000999
"36","x29153_834_64268_13_004",2.41341670309781,0.002997002997003,2.32972878037962,0.001998001998002,2.58651750555343,0.003996003996004,0.347103235644702,0.000999000999000999
"37","x14511_854_62918_7_07",2.76687650734665,0.002997002997003,1.58278549108973,0.03996003996004,2.5723166511,0.003996003996004,0.209511752854225,0.004995004995005
"38","x13640_379_33587_6_673",1.73469077812822,0.028971028971029,2.51262752388019,0.003996003996004,2.54957644524312,0.004995004995005,0.0797956033053716,0.120879120879121
"39","x10506_832_5705_5_439",1.95280269623959,0.014985014985015,2.41870265160836,0.001998001998002,2.48399540419822,0.002997002997003,0.238214139648754,0.00599400599400599
"40","x11004_612_51934_5_689",2.34098281092028,0.001998001998002,1.95469904078023,0.00599400599400599,2.44929187199241,0.002997002997003,0.218920093058513,0.001998001998002
"41","x24687_385_78733_11_825",2.02267331649981,0.010989010989011,2.13395802282874,0.00899100899100899,2.37230898853841,0.004995004995005,0.145037043515283,0.014985014985015
"42","x11297_914_62664_5_689",1.81048474541204,0.015984015984016,1.81332546491592,0.00799200799200799,2.34518625135438,0.003996003996004,0.0798574753857751,0.0569430569430569
"43","x19465_762_54304_9_181",2.33961484409645,0.001998001998002,1.99396545695922,0.013986013986014,2.31708986785181,0.00699300699300699,0.100083649456404,0.0749250749250749
"44","x23902_788_52076_11_56",2.31155663859538,0.000999000999000999,1.70041211028742,0.00799200799200799,2.24856384542828,0.001998001998002,0.0800885061876069,0.021978021978022
