"","Feature","Deep Aposymbiotic","Deep Aposymbiotic.pval","Shallow Aposymbiotic","Shallow Aposymbiotic.pval","Shallow Symbiotic","Shallow Symbiotic.pval","MeanDecreaseAccuracy","MeanDecreaseAccuracy.pval","MeanDecreaseGini","MeanDecreaseGini.pval"
"1","x13702_1033_58646_6_727",2.91172496987677,0.0099009900990099,1.97328670429331,0.0099009900990099,1.00100150250438,0.0396039603960396,2.53819966236516,0.0099009900990099,0.303146128203396,0.0099009900990099
"2","x2343_600_41754_2_335",1.42648426413879,0.0099009900990099,2.22445044841803,0.0099009900990099,2.41429470803583,0.0099009900990099,2.41793504442717,0.0099009900990099,0.33225103968713,0.0099009900990099
"3","x11404_976_60001_5_769",2.22699077645089,0.0099009900990099,1.09680226829666,0.0099009900990099,1.35542448786228,0.0099009900990099,2.38739334383598,0.0099009900990099,0.177291489432853,0.0099009900990099
"4","x1935_553_33175_1_992",2.49359505229041,0.0099009900990099,2.32120478310423,0.0099009900990099,1.41702089448692,0.0099009900990099,2.37504334389659,0.0099009900990099,0.188665314823555,0.0099009900990099
"5","x12271_817_4866_6_131",2.40289374919761,0.0099009900990099,1.36953199945808,0.0099009900990099,1.00100150250438,0.0297029702970297,2.34609015133698,0.0099009900990099,0.169986728242543,0.0099009900990099
"6","x12592_1007_57094_6_271",2.65896886327507,0.0099009900990099,1.82669289759539,0.0099009900990099,1.40622239633903,0.0297029702970297,2.32560764308587,0.0099009900990099,0.288096805718648,0.0099009900990099
"7","x3334_676_42012_3_03",2.61817668265086,0.0099009900990099,2.14987394264454,0.0099009900990099,1.3976941536882,0.0099009900990099,2.31174734439398,0.0099009900990099,0.295165148419702,0.0099009900990099
"8","x10550_979_53805_5_455",2.36159588462326,0.0099009900990099,2.06659280426501,0.0099009900990099,1.41389939741034,0.0099009900990099,2.27594990515276,0.0099009900990099,0.221767803228701,0.0099009900990099
"9","x2621_653_3452_2_579",2.16717749224248,0.0099009900990099,1.63831042235583,0.0099009900990099,2.16606519122924,0.0099009900990099,2.13976297843558,0.0099009900990099,0.302200340992394,0.0099009900990099
"10","x1946_535_32114_1_996",1.71351027480322,0.0099009900990099,1.73827539143439,0.0099009900990099,1.9720666720751,0.0099009900990099,2.00449562219565,0.0099009900990099,0.231428229665072,0.0099009900990099
"11","x13156_842_57715_6_505",1.9715804023779,0.0099009900990099,1.96940131865218,0.0099009900990099,1.98519424278748,0.0099009900990099,2.00188868512804,0.0099009900990099,0.228192373993144,0.0099009900990099
"12","x1934_631_36289_1_989",2.20864622692308,0.0099009900990099,1.57330803116073,0.0099009900990099,1.41459540782567,0.0099009900990099,1.97238469499101,0.0099009900990099,0.164646098274926,0.0099009900990099
"13","x11192_791_46977_5_681",2.39283343474803,0.0099009900990099,1.43973488022255,0.0099009900990099,1.00100150250438,0.0495049504950495,1.96438131715129,0.0099009900990099,0.17422257840648,0.0099009900990099
"14","x1964_489_31561_2_002",1.40834895880057,0.0099009900990099,1.68337514169062,0.0099009900990099,1.98105053248355,0.0099009900990099,1.95764061541505,0.0099009900990099,0.225483691857506,0.0099009900990099
"15","x13495_859_47601_6_648",1.73048326707831,0.0099009900990099,1.72266061116133,0.0099009900990099,1.98869243096523,0.0099009900990099,1.95373558611057,0.0099009900990099,0.220889308161873,0.0099009900990099
"16","x14315_822_58779_6_995",1.26693979201741,0.0099009900990099,1.77544711828874,0.0099009900990099,1.94192086745117,0.0099009900990099,1.91726793635269,0.0099009900990099,0.232876057684429,0.0099009900990099
"17","x2369_650_22526_2_364",1.54105904775701,0.0099009900990099,1.73504546011445,0.0099009900990099,1.95766170536463,0.0099009900990099,1.90112234926499,0.0099009900990099,0.179082519309731,0.0099009900990099
"18","x2638_613_35249_2_589",1.72300386905937,0.0099009900990099,1.68548621816759,0.0099009900990099,1.89178364552073,0.0099009900990099,1.86977591737625,0.0099009900990099,0.225492217778489,0.0099009900990099
"19","x12209_818_48972_6_127",1.85512896890809,0.0099009900990099,1.64966541878284,0.0099009900990099,1.73359846560542,0.0099009900990099,1.77390446545385,0.0099009900990099,0.182934195955004,0.0099009900990099
"20","x1920_663_40575_2_004",1.41120774204966,0.0099009900990099,1.66518004666981,0.0099009900990099,1.72309486782698,0.0099009900990099,1.73556617742716,0.0099009900990099,0.171245024012842,0.0099009900990099
"21","x1958_237_16347_1_996",1.31926632682314,0.0099009900990099,1.43829441652866,0.0099009900990099,1.72705002281581,0.0099009900990099,1.73335466318492,0.0099009900990099,0.174030854826074,0.0099009900990099
"22","x3336_704_45048_3_037",1.73727046020804,0.0099009900990099,1.68845100181721,0.0099009900990099,1.71897183190049,0.0099009900990099,1.73291357030217,0.0099009900990099,0.163127714390872,0.0099009900990099
"23","x13438_999_54369_6_628",1.00100150250438,0.0198019801980198,1.64900112239242,0.0099009900990099,1.7240102069937,0.0099009900990099,1.7324318809687,0.0099009900990099,0.170040652280051,0.0099009900990099
"24","x11273_589_42557_5_71",1.00100150250438,0.0198019801980198,1.5574140465865,0.0099009900990099,1.66370132854624,0.0099009900990099,1.7292589431729,0.0099009900990099,0.164223640162098,0.0099009900990099
"25","x2393_391_26318_2_393",1.41285987182396,0.0099009900990099,1.68193347039411,0.0099009900990099,1.72060822736689,0.0099009900990099,1.72746848252922,0.0099009900990099,0.178284210526316,0.0099009900990099
"26","x15692_787_47622_7_538",1.00100150250438,0.0099009900990099,1.53092616728827,0.0099009900990099,1.69052851490631,0.0099009900990099,1.72294641780487,0.0099009900990099,0.169846497195369,0.0099009900990099
"27","x16694_858_57224_8_011",1.30993429144589,0.0099009900990099,1.7199911053163,0.0099009900990099,1.70765381040931,0.0099009900990099,1.72028453651737,0.0099009900990099,0.169908700322234,0.0099009900990099
"28","x13123_887_48861_6_497",1.64422201456697,0.0099009900990099,1.58914967422461,0.0099009900990099,1.67557459618158,0.0099009900990099,1.71444078288108,0.0099009900990099,0.173371475109437,0.0099009900990099
"29","x3346_662_40381_3_031",1.00100150250438,0.0099009900990099,1.71664961481203,0.0099009900990099,1.66186429573269,0.0099009900990099,1.71375874588722,0.0099009900990099,0.163250130783203,0.0099009900990099
"30","x11422_1004_62935_5_777",1.34406227991274,0.0099009900990099,1.53720646345703,0.0099009900990099,1.71558596984739,0.0099009900990099,1.71078081445349,0.0099009900990099,0.179066874804132,0.0099009900990099
"31","x13157_635_46727_6_509",1.00100150250438,0.0198019801980198,1.72901689630088,0.0099009900990099,1.71929704783979,0.0099009900990099,1.71020065068958,0.0099009900990099,0.157917523495932,0.0099009900990099
"32","x15315_980_63049_7_43",1.00100150250438,0.0099009900990099,1.71442567311473,0.0099009900990099,1.66911011857018,0.0099009900990099,1.7062023551792,0.0099009900990099,0.170214206845786,0.0099009900990099
"33","x11483_999_53034_5_792",1.32225574896387,0.0099009900990099,1.70743011656623,0.0099009900990099,1.57532347087875,0.0099009900990099,1.69642431307766,0.0099009900990099,0.174748575880033,0.0099009900990099
"34","x12210_805_48564_6_105",1.40175666601689,0.0099009900990099,1.58630271892043,0.0099009900990099,1.73584547497035,0.0099009900990099,1.6925626040414,0.0099009900990099,0.174224880382775,0.0099009900990099
"35","x12638_1004_62255_6_269",1.58745558710021,0.0099009900990099,1.63709324845684,0.0099009900990099,1.70592786319884,0.0099009900990099,1.68692010507464,0.0099009900990099,0.172031134402809,0.0099009900990099
