Feature,B,B.pval,NB,NB.pval,MeanDecreaseAccuracy,MeanDecreaseAccuracy.pval,MeanDecreaseGini,MeanDecreaseGini.pval
x12592_1007_57094_6_271,2.2065648067586343,0.009900990099009901,2.159858209962621,0.009900990099009901,2.2085320902393173,0.009900990099009901,0.367421052631579,0.009900990099009901
x13454_866_57758_6_639,2.139768726429416,0.009900990099009901,2.217130722214706,0.009900990099009901,2.195658790643139,0.009900990099009901,0.3572631578947369,0.009900990099009901
x11279_812_52938_5_711,1.967182623030116,0.009900990099009901,1.9657697558345635,0.009900990099009901,1.9980005098998805,0.009900990099009901,0.27273684210526317,0.009900990099009901
x13432_983_57004_6_627,2.001087594567122,0.009900990099009901,1.9622542899626756,0.009900990099009901,1.9920581174478675,0.009900990099009901,0.29647368421052633,0.009900990099009901
x12591_1030_64582_6_27,1.990210955730511,0.009900990099009901,1.9601219170196171,0.009900990099009901,1.9912149844562814,0.009900990099009901,0.27921052631578946,0.009900990099009901
x16609_938_57898_7_991,1.9607704247627789,0.009900990099009901,1.9952103106628176,0.009900990099009901,1.9891484763687508,0.009900990099009901,0.2838745800671893,0.009900990099009901
x6404_825_47365_4_061,1.993575818892875,0.009900990099009901,1.975131228541299,0.009900990099009901,1.9882121980185845,0.009900990099009901,0.2907894736842106,0.009900990099009901
x15254_811_47602_7_406,1.8632612094328667,0.009900990099009901,1.5951978062719465,0.009900990099009901,1.911306848917984,0.009900990099009901,0.22690760233918134,0.009900990099009901
x13418_792_56016_6_617,1.7334217798597504,0.009900990099009901,1.7056265236755563,0.009900990099009901,1.7361410762735558,0.009900990099009901,0.22221052631578947,0.009900990099009901
x11289_789_52365_5_711,1.7135102748032212,0.009900990099009901,1.7072690758285218,0.009900990099009901,1.7351754398476384,0.009900990099009901,0.2205263157894737,0.009900990099009901
x13504_1004_62726_6_649,1.6712341017740304,0.009900990099009901,1.714270703436441,0.009900990099009901,1.7346907781282195,0.009900990099009901,0.20668421052631578,0.009900990099009901
x24622_903_56374_11_805,1.7340775596641071,0.009900990099009901,1.734230792841826,0.009900990099009901,1.7341918592869054,0.009900990099009901,0.21755898366606172,0.009900990099009901
x13495_859_47601_6_648,1.7282386659239497,0.009900990099009901,1.7368541831908106,0.009900990099009901,1.7335077167325037,0.009900990099009901,0.21778947368421053,0.009900990099009901
x11580_931_53948_5_837,1.736036008198702,0.009900990099009901,1.723693583779339,0.009900990099009901,1.7327794416121862,0.009900990099009901,0.211,0.009900990099009901
x13274_809_46018_6_565,1.7293487111576922,0.009900990099009901,1.7077913783721455,0.009900990099009901,1.7326399328510322,0.009900990099009901,0.20689473684210527,0.009900990099009901
x4186_868_50873_3_376,1.7291457214337724,0.009900990099009901,1.6933215394944088,0.009900990099009901,1.7324103633163355,0.009900990099009901,0.22326315789473689,0.009900990099009901
x4073_589_24526_3_343,1.7179442677848917,0.009900990099009901,1.7324359830530516,0.009900990099009901,1.7323464845107157,0.009900990099009901,0.2185263157894737,0.009900990099009901
x2621_653_3452_2_579,1.7258729644619784,0.009900990099009901,1.726302085770351,0.009900990099009901,1.7310627153018439,0.009900990099009901,0.22,0.009900990099009901
x7658_677_34354_4_446,1.7272442883936654,0.009900990099009901,1.7199430824590778,0.009900990099009901,1.7294864914516872,0.009900990099009901,0.2180526315789474,0.009900990099009901
x14411_868_59377_7_036,1.7046354047413832,0.009900990099009901,1.7371178244608205,0.009900990099009901,1.7278569329702158,0.009900990099009901,0.21478947368421053,0.009900990099009901
x12251_885_47157_6_122,1.7290777129243433,0.009900990099009901,1.7243474709259774,0.009900990099009901,1.727368581553685,0.009900990099009901,0.21947368421052632,0.009900990099009901
x2393_391_26318_2_393,1.7179067252071945,0.009900990099009901,1.7346020119527084,0.009900990099009901,1.7261827951550153,0.009900990099009901,0.22126315789473686,0.009900990099009901
x11249_814_54463_5_699,1.7119949154639196,0.009900990099009901,1.699583471448361,0.009900990099009901,1.7237355148165867,0.009900990099009901,0.2172105263157895,0.009900990099009901
