"","Feature","%IncMSE","%IncMSE.pval","IncNodePurity","IncNodePurity.pval"
"1","x11180_807_44384_5_677",5.15985246150423,0.0099009900990099,151337058071.669,0.0198019801980198
"2","x12592_1007_57094_6_271",3.7113259724709,0.0099009900990099,136532236402.932,0.0099009900990099
"3","x13670_874_53457_6_716",3.56791831018102,0.0099009900990099,218771772648.933,0.0099009900990099
"4","x37379_953_75321_15_179",3.52886693630167,0.0099009900990099,107182986413.602,0.0099009900990099
"5","x32907_715_60288_13_89",3.42947497782756,0.0099009900990099,319594523409.8,0.0099009900990099
"6","x12582_1002_61665_6_269",2.92549745234697,0.0099009900990099,54744299152.2991,0.0099009900990099
"7","x11436_981_55344_5_786",2.73932292543034,0.0099009900990099,90972798768.666,0.0099009900990099
"8","x19653_846_52357_9_25",2.68240487949827,0.0099009900990099,120293404928.992,0.0198019801980198
"9","x18462_802_53481_8_668",2.32945971519629,0.0099009900990099,163386365790.08,0.0198019801980198
"10","x14771_1009_5863_7_2",2.24391792031069,0.0099009900990099,43523962091.4398,0.0297029702970297
"11","x34754_601_5564_14_34",2.16906599561827,0.0099009900990099,51877339741.8221,0.0198019801980198
"12","x11192_791_46977_5_681",2.12704303522897,0.0099009900990099,20239527257.0778,0.0891089108910891
"13","x19799_395_36729_9_301",2.11393479175427,0.0099009900990099,11311610774.8851,0.0792079207920792
"14","x24586_817_65243_11_842",2.08438444986843,0.0099009900990099,54712440013.9591,0.0099009900990099
"15","x26927_580_56415_12_451",1.99569532388042,0.0099009900990099,11646668743.5479,0.0396039603960396
"16","x4766_582_40486_3_547",1.9524985866137,0.0099009900990099,47303694152.4517,0.0297029702970297
"17","x35594_661_55554_14_554",1.92453908429197,0.0099009900990099,25699061098.8404,0.0099009900990099
"18","x38260_879_74172_15_428",1.92308156662263,0.0099009900990099,360709051730.52,0.0099009900990099
"19","x20463_669_53419_9_672",1.91695136638436,0.0099009900990099,45220666629.3427,0.0396039603960396
"20","x23423_834_5571_11_346",1.89524593811698,0.0099009900990099,2196668248.73563,0.099009900990099
"21","x13701_1028_63182_6_727",1.88484881437414,0.0099009900990099,27116857699.6737,0.0099009900990099
"22","x36128_852_74526_14_761",1.83383501455891,0.0099009900990099,42301635666.7067,0.0495049504950495
"23","x35250_995_78636_14_533",1.82266069390249,0.0099009900990099,12957141340.0738,0.0693069306930693
"24","x28909_663_63778_12_988",1.8067613085566,0.0099009900990099,35399180735.0333,0.0099009900990099
"25","x37854_877_72512_15_35",1.79668780354269,0.0099009900990099,31771580571.3698,0.0396039603960396
"26","x30606_942_77708_13_359",1.78710899396973,0.0099009900990099,43659033003.0517,0.0297029702970297
"27","x13676_804_6144_6_693",1.7282128607012,0.0099009900990099,6432625607.65446,0.0891089108910891
"28","x4888_597_43092_3_605",1.7200097095743,0.0099009900990099,206366027976.125,0.0099009900990099
"29","x15601_917_54215_7_525",1.70726921021378,0.0198019801980198,330490722482.597,0.0099009900990099
"30","x34097_705_61741_14_173",1.69898287493838,0.0099009900990099,16922270828.8079,0.0297029702970297
"31","x32346_720_6484_13_765",1.67613155251585,0.0099009900990099,3528479536.23201,0.108910891089109
"32","x21482_570_48721_10_202",1.66488728001505,0.0099009900990099,10769911687.2329,0.148514851485149
"33","x13273_793_48625_6_563",1.6608114852626,0.0099009900990099,24948826291.2561,0.0198019801980198
"34","x22098_860_54138_10_497",1.65562311421291,0.0297029702970297,140851800.949566,0.643564356435644
"35","x22608_758_51_10_795",1.6448594989521,0.0198019801980198,21713839265.7718,0.108910891089109
"36","x33793_1042_78384_14_088",1.6427582900916,0.0099009900990099,84612406.0779137,0.336633663366337
"37","x30637_1038_83399_13_386",1.64136567345279,0.0099009900990099,52473482850.5199,0.0099009900990099
"38","x6282_607_41281_4_013",1.64040462136513,0.0099009900990099,58330413358.6947,0.0099009900990099
"39","x26309_908_69785_12_305",1.63058439535468,0.0099009900990099,27759690215.195,0.0198019801980198
"40","x26521_752_63871_12_37",1.62771734615326,0.0099009900990099,149248892620.432,0.0297029702970297
"41","x11545_1023_52531_5_836",1.62471030994233,0.0099009900990099,21222219709.5023,0.0396039603960396
"42","x29660_909_53001_13_139",1.61634139962946,0.0099009900990099,68307756968.3432,0.0297029702970297
"43","x12377_957_55469_6_169",1.61572260462537,0.0099009900990099,23567580561.8773,0.0099009900990099
"44","x19306_806_56713_9_126",1.61425665927385,0.0099009900990099,9750105.20407388,0.465346534653465
"45","x19899_912_57049_9_322",1.61020992506283,0.0099009900990099,3609189103.546,0.128712871287129
"46","x18851_413_37804_8_851",1.60564339332676,0.0099009900990099,3445407346.58697,0.128712871287129
"47","x38135_1083_9131_15_466",1.59867926529209,0.0099009900990099,990385038.862391,0.287128712871287
"48","x25949_850_63279_12_188",1.59202199898894,0.0099009900990099,6023244502.14076,0.0792079207920792
