"","Feature","%IncMSE","%IncMSE.pval","IncNodePurity","IncNodePurity.pval"
"1","x22894_762_60054_10_992",2.66575448822811,0.0099009900990099,0.0981501456352773,0.0099009900990099
"2","x32733_842_70141_13_825",2.55925911279381,0.0099009900990099,0.194368718265324,0.0099009900990099
"3","x24465_843_52374_11_775",2.47783407803759,0.0099009900990099,0.219897963877308,0.0099009900990099
"4","x33801_931_76312_14_108",2.46852746852018,0.0099009900990099,0.390039710228661,0.0099009900990099
"5","x17550_888_58356_8_296",2.17380049549458,0.0099009900990099,0.205622958011674,0.0099009900990099
"6","x34604_369_35163_14_254",2.15177534465424,0.0099009900990099,0.291725637102379,0.0099009900990099
"7","x31100_886_40753_13_478",2.13462762537477,0.0099009900990099,0.0788604070183863,0.0099009900990099
"8","x31268_623_68354_13_518",2.01042509920261,0.0198019801980198,0.283108263728979,0.0198019801980198
"9","x7035_375_30577_4_226",1.85775407402538,0.0099009900990099,0.0550570554943297,0.0099009900990099
"10","x38742_890_81652_15_713",1.84188138270694,0.0099009900990099,0.00212346173004498,0.227722772277228
"11","x21955_850_63617_10_422",1.80615193428195,0.0099009900990099,0.0909281670213044,0.0099009900990099
"12","x21585_556_53112_10_257",1.79658836823212,0.0198019801980198,0.104726918632551,0.0198019801980198
"13","x28191_712_61031_12_753",1.77255552962847,0.0099009900990099,0.0443654826901688,0.0099009900990099
"14","x26941_752_62016_12_465",1.71116869357044,0.0099009900990099,1.60590476190476e-05,0.564356435643564
"15","x29878_552_57321_13_181",1.70436239538131,0.0198019801980198,0.0113171729866657,0.0693069306930693
"16","x6283_429_33716_4_006",1.67953255162314,0.0099009900990099,0.0586465033961594,0.0198019801980198
"17","x25984_830_3443_12_211",1.67680545423629,0.0198019801980198,0.0340563224845949,0.0198019801980198
"18","x27842_632_59409_12_668",1.6625128984561,0.0099009900990099,0.00497610602093469,0.128712871287129
"19","x18507_748_56617_8_7",1.65724066867765,0.0099009900990099,0.00375181623861424,0.108910891089109
"20","x20040_754_57327_9_464",1.65036530868826,0.0099009900990099,0.000932183174603176,0.227722772277228
"21","x12298_588_49901_6_154",1.62153354272205,0.0099009900990099,0.0046602515988662,0.0495049504950495
"22","x36851_922_78329_15_011",1.6201058372536,0.0099009900990099,0.00111780727272728,0.138613861386139
"23","x33349_966_75235_13_982",1.61287004879531,0.0099009900990099,0.000470943926237164,0.455445544554455
"24","x27472_779_56336_12_598",1.60611897652057,0.0198019801980198,0.0811181546709329,0.0099009900990099
"25","x16000_870_60289_7_649",1.60217448081052,0.0099009900990099,0.0098881145448554,0.0297029702970297
"26","x18796_812_61828_8_782",1.6017724568863,0.0198019801980198,0.007904697590239,0.198019801980198
"27","x4595_774_50613_3_487",1.59745007453218,0.0198019801980198,0.00123222169875223,0.138613861386139
"28","x21041_740_56171_9_954",1.57028542433948,0.0099009900990099,0.0694083864963754,0.0198019801980198
"29","x7636_441_37301_4_456",1.56600867795005,0.0099009900990099,0.00095897992007992,0.0792079207920792
"30","x37583_929_7551_15_269",1.55142130990148,0.0198019801980198,0.00357731482873852,0.128712871287129
"31","x30173_820_6657_13_256",1.54731986679759,0.0099009900990099,0.00410871611932129,0.0792079207920792
"32","x24956_681_58171_11_882",1.54503735068566,0.0099009900990099,0.0239602894522117,0.0198019801980198
"33","x30428_860_67224_13_334",1.5228048620703,0.0099009900990099,0.00121465231861706,0.158415841584158
"34","x40408_878_8572_16_404",1.51883287453649,0.0198019801980198,0.0139127522436361,0.0297029702970297
"35","x39206_916_83284_15_874",1.47751412368789,0.0099009900990099,0.00767852450778061,0.0396039603960396
"36","x38376_1002_84379_15_546",1.47540849691874,0.0198019801980198,0.00833217944005658,0.0594059405940594
"37","x32412_520_50939_13_761",1.47023581224957,0.0297029702970297,0.0105367226689165,0.0396039603960396
"38","x38260_879_74172_15_428",1.46665783123585,0.0198019801980198,0.00584713589993446,0.0792079207920792
"39","x29711_866_70927_13_19",1.46482532208889,0.0099009900990099,0.0196829975082815,0.0099009900990099
"40","x29285_740_64005_13_068",1.46315912093987,0.0099009900990099,0.0360107137240842,0.0297029702970297
"41","x28322_946_70908_12_808",1.46016080364281,0.0099009900990099,0.0236041677163256,0.0297029702970297
"42","x26003_584_52252_12_217",1.45554589937898,0.0099009900990099,0.00141755930735931,0.118811881188119
"43","x25055_562_51783_11_925",1.43866185213213,0.0198019801980198,0.00276405590576091,0.227722772277228
"44","x30797_692_61615_13_419",1.42774750334224,0.0099009900990099,0.0207698815545052,0.0297029702970297
"45","x1598_546_25775_1_745",1.42710997703681,0.0099009900990099,0.00478520915750916,0.128712871287129
"46","x31291_864_6807_13_561",1.41702329024868,0.0198019801980198,0.000905715000000001,0.316831683168317
"47","x18590_550_48353_8_72",1.41699757760082,0.0099009900990099,0.00281766615384615,0.0396039603960396
"48","x37330_960_80203_15_112",1.41695798358618,0.0297029702970297,0.0266339122463768,0.0297029702970297
"49","x18032_749_53643_8_536",1.41687158637426,0.0099009900990099,7.36066666666676e-05,0.277227722772277
"50","x40357_922_82515_16_383",1.41684499798086,0.0198019801980198,0.00155723666666667,0.217821782178218
"51","x17685_818_57746_8_361",1.41648870389542,0.0198019801980198,0.00316225803030304,0.0891089108910891
"52","x5072_434_36337_3_679",1.41647976160304,0.0099009900990099,0.0097100077113184,0.0792079207920792
"53","x8690_417_3369_4_781",1.41641368381207,0.0099009900990099,0.0250055874618382,0.0198019801980198
"54","x8928_642_41337_4_83",1.41623363614132,0.0099009900990099,7.22871428571429e-05,0.356435643564356
"55","x40155_989_85097_16_269",1.41617459347737,0.0099009900990099,0.0012235172396025,0.207920792079208
"56","x21868_714_58964_10_397",1.41553767533068,0.0099009900990099,0.00176196461538463,0.0594059405940594
"57","x21352_768_49358_10_139",1.41539687010041,0.0198019801980198,0.000329798455988457,0.237623762376238
"58","x9241_388_34234_4_983",1.41468069941102,0.0198019801980198,0.000337539610389614,0.306930693069307
"59","x17284_792_54114_8_24",1.41456077168692,0.0297029702970297,0.00135071203463204,0.326732673267327
"60","x9187_846_58747_4_993",1.41413186364388,0.0099009900990099,2.04380952380952e-05,0.435643564356436
"61","x2141_425_21428_2_145",1.41242004894278,0.0495049504950495,0.00393286806526807,0.267326732673267
"62","x15230_812_58106_7_4",1.41203609839025,0.0099009900990099,0.00238854166666667,0.099009900990099
"63","x36528_971_78626_14_869",1.41161355173242,0.0099009900990099,0.00599681166666667,0.0792079207920792
"64","x17985_768_56198_8_495",1.41159510950675,0.0198019801980198,0.00127823796176046,0.247524752475248
"65","x13919_694_56334_6_845",1.40984263622417,0.0198019801980198,0.00880904895162204,0.118811881188119
"66","x27427_888_69296_12_589",1.40928719913582,0.0198019801980198,0.0012290290909091,0.138613861386139
"67","x28028_644_60093_12_724",1.40885109920862,0.0198019801980198,0.0135004644323544,0.0396039603960396
"68","x38602_870_79257_15_615",1.40856630494874,0.0099009900990099,0.000289466410533911,0.287128712871287
"69","x19867_430_37839_9_32",1.40722982973989,0.0198019801980198,0.000913493333333334,0.198019801980198
"70","x10900_832_60421_5_615",1.40641555513393,0.0198019801980198,0.00840772601402143,0.188118811881188
"71","x17935_714_55049_8_475",1.40635015107747,0.0099009900990099,0.00118278219344325,0.415841584158416
