"","metabolite.X","metabolite.Feature","metabolite.X.IncMSE","metabolite.X.IncMSE.pval","metabolite.IncNodePurity","metabolite.IncNodePurity.pval","log2FC"
"x13262_590_4185_6_55",1011,"x13262_590_4185_6_55",1.00100150250438,0.0198019801980198,6.63744502642061e-07,0.118811881188119,0.38723049605799
"x11465_819_53182_5_794",1016,"x11465_819_53182_5_794",1.00100150250438,0.0396039603960396,0.00770768096403049,0.207920792079208,1.55653532934168
"x15671_604_43493_7_525",1021,"x15671_604_43493_7_525",1.00100150250438,0.0396039603960396,0.000265012093677527,0.0792079207920792,0.0367139134981255
"x31861_934_73674_13_666",1071,"x31861_934_73674_13_666",1.00100150250438,0.0198019801980198,0.00324360090361546,0.0594059405940594,0.320269742318109
"x3857_447_31046_3_265",1082,"x3857_447_31046_3_265",1.00100150250438,0.0495049504950495,1.15219369796193e-07,0.237623762376238,0.340182872928322
"x19696_542_51553_9_271",1083,"x19696_542_51553_9_271",1.00100150250438,0.0297029702970297,0.000261886036401245,0.178217821782178,1.06234781757462
"x28593_880_72157_12_907",1105,"x28593_880_72157_12_907",1.00100150250438,0.0198019801980198,4.29983316205806e-07,0.168316831683168,2.38592962082211
"x22397_850_63318_10_652",1121,"x22397_850_63318_10_652",1.00100150250438,0.0396039603960396,2.71500963933136e-10,0.297029702970297,0.0367561291365732
"x3311_636_42382_3_033",1129,"x3311_636_42382_3_033",1.00100150250438,0.0099009900990099,1.70819509133224e-08,0.297029702970297,0.539726911806773
"x33479_924_74318_13_989",1131,"x33479_924_74318_13_989",1.00100150250438,0.0495049504950495,3.15369388033835e-05,0.237623762376238,1.49194963013314
"x19111_712_55533_9_058",1138,"x19111_712_55533_9_058",1.00100150250438,0.0396039603960396,1.43277338375825e-07,0.207920792079208,Inf
"x15986_660_5013_7_575",1140,"x15986_660_5013_7_575",1.00100150250438,0.0495049504950495,3.28672019349003e-05,0.227722772277228,1.84212098768375
"x31552_750_62504_13_583",1164,"x31552_750_62504_13_583",1.00100150250438,0.0396039603960396,3.30073207204773e-06,0.168316831683168,Inf
"x15654_620_56348_7_527",1177,"x15654_620_56348_7_527",1.00100150250438,0.0396039603960396,1.11816764776993e-05,0.168316831683168,1.60827816025043
"x35630_996_76981_14_522",1192,"x35630_996_76981_14_522",1.00100150250438,0.0099009900990099,1.7208265851032e-06,0.0396039603960396,1.87623587152045
"x585_398_28965_1_09",1531,"x585_398_28965_1_09",1.00100150250438,0.0099009900990099,0.00039653602639502,0.0198019801980198,1.43675127512372
"x31241_716_61788_13_504",1692,"x31241_716_61788_13_504",1.00100150250438,0.0396039603960396,0.00020750117210703,0.108910891089109,0.344061520749004
"x4325_562_38916_3_441",1879,"x4325_562_38916_3_441",1.00100150250438,0.0198019801980198,2.58377780019359e-05,0.0891089108910891,0.518501641810303
"x23325_736_57686_11_266",1902,"x23325_736_57686_11_266",1.00100150250438,0.0396039603960396,0.000108455891010526,0.0792079207920792,1.03307885864058
"x23803_1214_3911_11_509",1944,"x23803_1214_3911_11_509",1.00100150250438,0.0396039603960396,0.0329629596800457,0.0297029702970297,1.12131388106512
"x4868_283_24213_3_612",2019,"x4868_283_24213_3_612",1.00100150250438,0.0396039603960396,1.65281855064592e-08,0.138613861386139,0.329500048711307
"x24425_880_64843_11_749",2022,"x24425_880_64843_11_749",1.00100150250438,0.0099009900990099,9.33810614595743e-07,0.0792079207920792,2.47890739048968
"x37115_790_7301_15_092",2053,"x37115_790_7301_15_092",1.00100150250438,0.0297029702970297,2.36038743909361e-06,0.0693069306930693,Inf
"x20335_727_58175_9_635",2087,"x20335_727_58175_9_635",1.00100150250438,0.0396039603960396,8.780498472305e-09,0.188118811881188,Inf
"x19411_786_56599_9_146",2102,"x19411_786_56599_9_146",1.00100150250438,0.0396039603960396,7.51126425319004e-06,0.0396039603960396,Inf
"x14574_708_50237_7_078",2116,"x14574_708_50237_7_078",1.00100150250438,0.0396039603960396,0.000295733316287644,0.0891089108910891,Inf
