"","Feature","%IncMSE","%IncMSE.pval","IncNodePurity","IncNodePurity.pval"
"1","x29450_909_67655_13_162",3.64256228414007,0.0099009900990099,1.12766651613614,0.0099009900990099
"2","x32134_1030_7983_13_67",3.59871983009272,0.0099009900990099,1.26079558716916,0.0099009900990099
"3","x28729_747_60851_12_906",3.50808086985129,0.0099009900990099,1.96201028344493,0.0099009900990099
"4","x20720_445_36758_9_82",3.47663839781819,0.0099009900990099,1.88148088746748,0.0099009900990099
"5","x15777_800_58994_7_562",3.28426970714994,0.0099009900990099,0.876217662446312,0.0099009900990099
"6","x30970_1010_76274_13_444",3.12282461071841,0.0099009900990099,1.84277035056812,0.0099009900990099
"7","x14023_645_39216_6_866",2.90543811959161,0.0099009900990099,0.461709910640881,0.0099009900990099
"8","x27899_667_63368_12_705",2.72105104936862,0.0099009900990099,0.0802298803004774,0.0891089108910891
"9","x23878_630_54568_11_549",2.57375191978697,0.0099009900990099,1.21112846925441,0.0099009900990099
"10","x33525_964_79495_14_007",2.48274443127475,0.0099009900990099,0.727799807286444,0.0099009900990099
"11","x4831_644_4386_3_629",2.47048041666718,0.0099009900990099,1.51790898713853,0.0099009900990099
"12","x1582_564_38687_1_75",2.44413777158737,0.0099009900990099,0.375004567992332,0.0099009900990099
"13","x33061_734_63005_13_895",2.38843803924791,0.0099009900990099,1.22345251726451,0.0099009900990099
"14","x34020_912_76649_14_188",2.31207154940735,0.0099009900990099,0.259701050385437,0.0099009900990099
"15","x14036_629_41761_6_872",2.3069081783603,0.0099009900990099,0.588816194895134,0.0099009900990099
"16","x27502_922_71292_12_623",2.18695427029647,0.0099009900990099,0.279381319941413,0.0099009900990099
"17","x15792_801_592_7_559",2.18645768362251,0.0099009900990099,0.447380306853413,0.0099009900990099
"18","x19242_828_60949_9_074",2.10619918669482,0.0099009900990099,0.033061706296957,0.0594059405940594
"19","x2418_516_39037_2_426",2.0884763178697,0.0099009900990099,0.35759178128972,0.0099009900990099
"20","x29719_813_68388_13_206",2.04103188262705,0.0099009900990099,0.192820340105742,0.0198019801980198
