frag_ID,host_sym,total_weight_mg,pan_ID,pan_weight_mg,dry_pan_mg,dry_weight_mg,date_time_in_oven,date_time_out_oven,added,tray_no,date_time_in_furnace,date_time_out_furnace,ash_pan_mg,ash_weight_mg
A5-A,host,,,,,,,,,,,,,
A8-S,host,,,,,,,,,,,,,
A9-A,host,,,,,,,,,,,,,
A10-A,host,,,,,,,,,,,,,
