sample_id,colony_id,a_s_colony,a_s_frag,algae_host,depth_sa,weight_mg,total_N_ug,pct_N,d15N,total_C_ug,pct_C,d13C
A-18-A-1124-Algae,A18,A,A,Algae,Shallow Aposymbiotic,2.31,108.2,9.29,8.84,103.8,45.74,-21.28
A10-A-1124-Algae,A10,A,A,Algae,Shallow Aposymbiotic,0.47,9.8,4.04,8.75,10.1,21.94,-22
A11-A-new-1124-Algae,A11-new,A,A,Algae,Shallow Aposymbiotic,2.54,56.5,4.32,9.33,56.8,22.51,-21.7
A11-A-old-1124-Algae,A11-old,A,A,Algae,Shallow Aposymbiotic,3.48,150,8.55,8.31,149.2,43.64,-21.17
A12-A-1124-Algae,A12,A,A,Algae,Shallow Aposymbiotic,1.92,51.7,5.24,10.35,49.6,26.02,-21.43
A13-A-old-1124-Algae,A13-old,A,A,Algae,Shallow Aposymbiotic,1.98,40.1,3.92,9.44,41.6,21.12,-21.77
A14-A-new-1124-Algae,A14-new,A,A,Algae,Shallow Aposymbiotic,1.56,45.1,5.63,7.84,46.7,30.23,-22.06
A14-A-old-1124-Algae,A14-old,A,A,Algae,Shallow Aposymbiotic,2.19,64.9,5.67,11.54,67.7,30.79,-21.75
A15-A-1124-Algae,A15,A,A,Algae,Shallow Aposymbiotic,2.27,55.2,4.66,7.26,60.7,26.72,-22.13
A24-A-1124-Algae,A24,A,A,Algae,Shallow Aposymbiotic,2.29,66,5.52,8.76,60.4,26.28,-21.31
A25-A-1124-Algae,A25,A,A,Algae,Shallow Aposymbiotic,1.89,55.3,5.67,9.83,53.1,28.3,-21.02
A5-A-1124-Algae,A5,A,A,Algae,Shallow Aposymbiotic,1.01,25.4,4.88,9.32,24.7,24.61,-21.95
A8-A-1124-Algae,A8,A,A,Algae,Shallow Aposymbiotic,1.96,57.5,5.7,9.74,58.8,30.23,-21.53
A9-A-1124-Algae,A9,A,A,Algae,Shallow Aposymbiotic,1.33,29.5,4.31,8.37,37.3,28.26,-23.45
D1-1124-Algae,D1,A,A,Algae,Deep Aposymbiotic,1.4,55.9,7.72,9.66,52.3,38.13,-21.71
D10-1124-Algae,D10,A,A,Algae,Deep Aposymbiotic,1.6,69.9,8.5,9.36,66.8,42.81,-21.71
D11-1124-Algae,D11,A,A,Algae,Deep Aposymbiotic,2.15,67.7,6.1,9.33,66.7,31.75,-21.62
D12-1124-Algae,D12,A,A,Algae,Deep Aposymbiotic,1.94,74.2,7.46,9.31,72.3,38.2,-21.59
D13-1124-Algae,D13,A,A,Algae,Deep Aposymbiotic,1.77,56.4,6.22,9.33,61.9,35.88,-22.19
D14-1124-Algae,D14,A,A,Algae,Deep Aposymbiotic,1.55,58.7,7.38,9.36,59.6,39.45,-21.73
D15-1124-Algae,D15,A,A,Algae,Deep Aposymbiotic,1.37,55.3,7.87,9.63,57.7,43.16,-22.02
D2-1124-Algae,D2,A,A,Algae,Deep Aposymbiotic,1.27,41.5,6.34,9.53,39.5,31.8,-21.46
D3-1124-Algae,D3,A,A,Algae,Deep Aposymbiotic,1.03,44.6,8.39,9.53,40.9,40.59,-21.45
D4-1124-Algae,D4,A,A,Algae,Deep Aposymbiotic,1.32,53.5,7.84,9.75,48.9,37.84,-21.38
D5-1124-Algae,D5,A,A,Algae,Deep Aposymbiotic,1.5,63.2,8.16,9.43,59.5,40.59,-21.47
D6-1124-Algae,D6,A,A,Algae,Deep Aposymbiotic,1.76,57.4,6.32,9.59,54,31.35,-21.6
D7-1124-Algae,D7,A,A,Algae,Deep Aposymbiotic,1.28,46.4,7.03,9.31,45.8,36.53,-21.87
D8-1124-Algae,D8,A,A,Algae,Deep Aposymbiotic,1.22,52.1,8.28,9.5,50.2,42.05,-21.74
D9-1124-Algae,D9,A,A,Algae,Deep Aposymbiotic,2.55,93.2,7.11,9.57,91.6,36.75,-21.7
S1-A-1124-Algae,S1,S,A,Algae,Shallow Aposymbiotic,1.89,36.4,3.77,8.48,37.9,20.34,-21.98
S10-A-1124-Algae,S10,S,A,Algae,Shallow Aposymbiotic,0.49,11.1,4.37,8.87,10.3,21.21,-21.08
S11-A-old-1124-Algae,S11-old,S,A,Algae,Shallow Aposymbiotic,1.55,49.9,6.25,8.91,46,29.92,-21.47
S12-A-1124-Algae,S12,S,A,Algae,Shallow Aposymbiotic,3.15,127.6,7.91,9.15,122.2,39.22,-21.18
S15-A-1124-Algae,S15,S,A,Algae,Shallow Aposymbiotic,1.94,77.1,7.75,9.25,73.4,38.36,-21.43
S16-A-1124-Algae,S16,S,A,Algae,Shallow Aposymbiotic,2.58,99.1,7.52,8.69,95.9,37.66,-21.43
S17-A-1124-Algae,S17,S,A,Algae,Shallow Aposymbiotic,1.76,61.8,6.85,8.93,59.4,34.19,-21.48
S18-A-1124-Algae,S18,S,A,Algae,Shallow Aposymbiotic,1.57,77.8,9.59,9.34,69.5,44.51,-21.44
S19-A-1124-Algae,S19,S,A,Algae,Shallow Aposymbiotic,1.27,32.7,4.95,9.91,32.4,25.46,-21.85
S21-A-1124-Algae,S21,S,A,Algae,Shallow Aposymbiotic,1.96,65.1,6.37,9.48,60.8,30.87,-21.37
S22-A-1124-Algae,S22,S,A,Algae,Shallow Aposymbiotic,1.64,62.8,7.34,8.84,58.6,35.75,-21.38
S26-A-1124-Algae,S26,S,A,Algae,Shallow Aposymbiotic,1.58,59.4,7.35,6.95,58.6,37.57,-20.75
S6-A-1124-Algae,S6,S,A,Algae,Shallow Aposymbiotic,1.51,53.3,6.88,9.19,54.1,36.25,-21.63
S7-A-1124-Algae,S7,S,A,Algae,Shallow Aposymbiotic,1.7,62.1,7.14,8.18,62,36.93,-21.56
S9-A-1124-Algae,S9,S,A,Algae,Shallow Aposymbiotic,1.39,43.6,6.12,8.69,43.2,31.43,-21.47
A-18-S-1124-Algae,A18,A,S,Algae,Shallow Symbiotic,1.68,64.8,7.54,6.42,66.5,40.06,-21.46
A10-S-1124-Algae,A10,A,S,Algae,Shallow Symbiotic,2.69,44.4,3.19,8.54,47.8,17.86,-22.04
A11-S-new-1124-Algae,A11-new,A,S,Algae,Shallow Symbiotic,0.85,27.2,6.23,8.9,26.8,31.75,-21.52
A11-S-old-1124-Algae,A11-old,A,S,Algae,Shallow Symbiotic,3.05,124.3,7.92,7.76,118.1,39.05,-21.28
A12-S-1124-Algae,A12,A,S,Algae,Shallow Symbiotic,1.47,49.7,6.58,9.35,49.7,34.18,-21.84
A13-S-old-1124-Algae,A13-old,A,S,Algae,Shallow Symbiotic,0.84,36.8,8.4,8.7,47.3,56.16,-22.27
A14-S-new-1124-Algae,A14-new,A,S,Algae,Shallow Symbiotic,0.58,7.4,2.46,8.73,6.7,11.6,-21.63
A14-S-old-1124-Algae,A14-old,A,S,Algae,Shallow Symbiotic,1.63,30.2,3.59,5.32,33.5,20.67,-22.18
A15-S-1124-Algae,A15,A,S,Algae,Shallow Symbiotic,1.28,31.2,4.71,7.11,32.2,25.71,-21.55
A24-S-1124-Algae,A24,A,S,Algae,Shallow Symbiotic,1.87,30.1,3.15,7.07,32,17.34,-21.33
A25-S-1124-Algae,A25,A,S,Algae,Shallow Symbiotic,2.18,88,7.81,8.48,81.2,37.48,-21.17
A8-S-1124-Algae,A8,A,S,Algae,Shallow Symbiotic,3.33,84.5,4.88,7.96,85.4,25.57,-21.27
A9-S-1124-Algae,A9,A,S,Algae,Shallow Symbiotic,1.78,58.1,6.25,9.13,59,33.06,-21.78
S1-S-1124-Algae,S1,S,S,Algae,Shallow Symbiotic,2.82,67.3,4.67,8.09,72.1,25.9,-21.78
S10-S-1124-Algae,S10,S,S,Algae,Shallow Symbiotic,1.38,40.5,5.62,4.38,43.1,31.18,-21.4
S11-S-new-1124-Algae,S11-new,S,S,Algae,Shallow Symbiotic,1.49,63.9,8.23,8.62,59.4,39.95,-21.43
S11-S-old-1124-Algae,S11-old,S,S,Algae,Shallow Symbiotic,2.74,86,6.13,7.43,86,31.81,-21.68
